–55,0.0000,10.1860,0.0000,10.1870,–13.210,0.0310,–13.180,–0.03061,–0.03053,–55,0.0007,0.0174,344086.0000,344086.0000,–183.26,1220.1200,1036.8600,–0.3806,3.0151,2.6345,–55
–54,0.0000,10.2120,0.0010,10.2120,–12.970,0.0330,–12.937,–0.03002,–0.02993,–54,0.0007,0.0174,322445.0000,322445.0000,–182.84,1220.1500,1037.3000,–0.3796,3.0077,2.6282,–54
–53,0.0000,10.2370,0.0010,10.2370,–12.730,0.0350,–12.695,–0.02942,–0.02933,–53,0.0008,0.0174,302263.0000,302263.0000,–182.42,1220.1700,1037.7500,–0.3785,3.0004,2.6219,–53
–52,0.0000,10.2620,0.0010,10.2630,–12.490,0.0380,–12.452,–0.02883,–0.02874,–52,0.0009,0.0174,283436.0000,283436.0000,–182.00,1220.1900,1038.1900,–0.3775,2.9931,2.6156,–52
–51,0.0000,10.2880,0.0010,10.2880,–12.249,0.0400,–12.209,–0.02825,–0.02814,–51,0.0009,0.0174,265866.0000,265866.0000,–181.58,1220.2100,1038.6300,–0.3765,2.9858,2.6093,–51
–50,0.0000,10.3130,0.0010,10.3140,–12.009,0.0430,–11.966,–0.02766,–0.02755,–50,0.0010,0.0174,249464.0000,249464.0000,–181.16,1220.2400,1039.0700,–0.3755,2.9786,2.6031,–50
–49,0.0000,10.3380,0.0010,10.3390,–11.769,0.0460,–11.723,–0.02707,–0.02695,–49,0.0010,0.0174,234148.0000,234148.0000,–180.74,1220.2600,1039.5200,–0.3744,2.9714,2.5970,–49
–48,0.0000,10.3640,0.0010,10.3640,–11.529,0.0490,–11.479,–0.02649,–0.02636,–48,0.0011,0.0174,219841.0000,219841.0000,–180.32,1220.2800,1039.9600,–0.3734,2.9642,2.5908,–48
–47,0.0001,10.3890,0.0010,10.3900,–11.289,0.0530,–11.236,–0.02591,–0.02577,–47,0.0012,0.0174,206472.0000,206472.0000,–179.89,1220.2900,1040.4000,–0.3724,2.9571,2.5847,–47
–46,0.0001,10.4140,0.0010,10.4150,–11.048,0.0560,–10.992,–0.02532,–0.02518,–46,0.0013,0.0174,193976.0000,193976.0000,–179.47,1220.3100,1040.8400,–0.3713,2.9500,2.5786,–46
–45,0.0001,10.4390,0.0010,10.4400,–10.808,0.0600,–10.748,–0.02474,–0.02459,–45,0.0014,0.0174,182292.0000,182292.0000,–179.04,1220.3300,1041.2800,–0.3703,2.9429,2.5726,–45
–44,0.0001,10.4650,0.0010,10.4660,–10.568,0.0640,–10.504,–0.02417,–0.02400,–44,0.0014,0.0174,171363.0000,171363.0000,–178.62,1220.3400,1041.7300,–0.3693,2.9359,2.5666,–44
–43,0.0001,10.4900,0.0010,10.4910,–10.328,0.0680,–10.259,–0.02359,–0.02341,–43,0.0015,0.0174,161139.0000,161139.0000,–178.19,1220.3600,1042.1700,–0.3683,2.9288,2.5606,–43
–42,0.0001,10.5150,0.0010,10.5170,–10.087,0.0730,–10.015,–0.02301,–0.02283,–42,0.0016,0.0174,151570.0000,151570.0000,–177.76,1220.3700,1042.6100,–0.3672,2.9219,2.5546,–42
–41,0.0001,10.5410,0.0010,10.5420,–9.847,0.0780,–9.770,–0.02244,–0.02224,–41,0.0017,0.0174,142611.0000,142611.0000,–177.33,1220.3800,1043.0500,–0.3662,2.9149,2.5487,–41
–40,0.0001,10.5660,0.0010,10.5670,–9.607,0.0830,–9.524,–0.02187,–0.02166,–40,0.0019,0.0174,134222.0000,134222.0000,–176.90,1220.3900,1043.4900,–0.3652,2.9080,2.5428,–40
–39,0.0001,10.5910,0.0010,10.5930,–9.367,0.0880,–9.279,–0.02129,–0.02107,–39,0.0020,0.0174,126363.0000,126363.0000,–176.47,1220.4100,1043.9400,–0.3642,2.9011,2.5370,–39
–38,0.0001,10.6170,0.0020,10.6180,–9.127,0.0940,–9.033,–0.02072,–0.02049,–38,0.0021,0.0174,118999.0000,118999.0000,–176.04,1220.4100,1044.3800,–0.3631,2.8942,2.5311,–38
–37,0.0001,10.6420,0.0020,10.6440,–8.886,0.1000,–8.787,–0.02015,–0.01990,–37,0.0022,0.0174,112096.0000,112096.0000,–175.60,1220.4200,1044.8200,–0.3621,2.8874,2.5253,–37
–36,0.0001,10.6670,0.0020,10.6690,–8.646,0.1060,–8.540,–0.01959,–0.01932,–36,0.0024,0.0174,105624.0000,105625.0000,–175.17,1220.4300,1045.2600,–0.3611,2.8806,2.5196,–36
–35,0.0001,10.6930,0.0020,10.6950,–8.406,0.1130,–8.293,–0.01902,–0.01874,–35,0.0025,0.0174,99555.0000,99555.0000,–174.73,1220.4400,1045.7000,–0.3600,2.8739,2.5138,–35
–34,0.0001,10.7180,0.0020,10.7200,–8.166,0.1200,–8.046,–0.01846,–0.01816,–34,0.0027,0.0174,93860.0000,93860.0000,–174.30,1220.4400,1046.1500,–0.3590,2.8671,2.5081,–34
–33,0.0001,10.7430,0.0020,10.7450,–7.926,0.1280,–7.798,–0.01789,–0.01757,–33,0.0029,0.0174,88516.0000,88516.0000,–173.86,1220.4500,1046.5900,–0.3580,2.8604,2.5024,–33
–32,0.0001,10.7690,0.0020,10.7710,–7.685,0.1360,–7.550,–0.01733,–0.01699,–32,0.0031,0.0174,83500.0000,83500.0000,–173.42,1220.4500,1047.0300,–0.3570,2.8537,2.4968,–32
–31,0.0001,10.7940,0.0020,10.7960,–7.445,0.1440,–7.301,–0.01677,–0.01641,–31,0.0032,0.0174,78790.0000,78790.0000,–172.98,1220.4500,1047.4700,–0.3559,2.8471,2.4911,–31
–30,0.0001,10.8190,0.0030,10.8220,–7.205,0.1530,–7.052,–0.01621,–0.01583,–30,0.0034,0.0174,74366.0000,74366.0000,–172.54,1220.4600,1047.9100,–0.3549,2.8405,2.4855,–30
–29,0.0002,10.8450,0.0030,10.8470,–6.965,0.1630,–6.802,–0.01565,–0.01525,–29,0.0037,0.0174,70209.0000,70209.0000,–172.10,1220.4600,1048.3600,–0.3539,2.8339,2.4800,–29
–28,0.0002,10.8700,0.0030,10.8730,–6.725,0.1730,–6.552,–0.01509,–0.01467,–28,0.0039,0.0174,66303.0000,66303.0000,–171.66,1220.4600,1048.8000,–0.3529,2.8273,2.4744,–28
–27,0.0002,10.8950,0.0030,10.8980,–6.485,0.1840,–6.301,–0.01454,–0.01409,–27,0.0041,0.0174,62631.0000,62631.0000,–171.22,1220.4600,1049.2400,–0.3518,2.8208,2.4689,–27
–26,0.0002,10.9200,0.0030,10.9240,–6.244,0.1950,–6.050,–0.01398,–0.01351,–26,0.0044,0.0174,59179.0000,59179.0000,–170.77,1220.4500,1049.6800,–0.3508,2.8143,2.4634,–26
–25,0.0002,10.9460,0.0030,10.9490,–6.004,0.2070,–5.797,–0.01343,–0.01293,–25,0.0046,0.0174,55931.0000,55931.0000,–170.33,1220.4500,1050.1200,–0.3498,2.8078,2.4580,–25
–24,0.0002,10.9710,0.0040,10.9750,–5.764,0.2190,–5.545,–0.01288,–0.01234,–24,0.0049,0.0174,52876.0000,52876.0000,–169.88,1220.4500,1050.5600,–0.3488,2.8013,2.4525,–24
–23,0.0002,10.9960,0.0040,11.0000,–5.524,0.2330,–5.291,–0.01233,–0.01176,–23,0.0052,0.0174,50000.0000,50001.0000,–169.43,1220.4400,1051.0100,–0.3477,2.7949,2.4471,–23
–22,0.0002,11.0220,0.0040,11.0260,–5.284,0.2460,–5.037,–0.01178,–0.01118,–22,0.0055,0.0174,47294.0000,47294.0000,–168.99,1220.4300,1051.4500,–0.3467,2.7885,2.4418,–22
–21,0.0002,11.0470,0.0040,11.0510,–5.044,0.2610,–4.782,–0.01123,–0.01060,–21,0.0058,0.0174,44745.0000,44745.0000,–168.54,1220.4300,1051.8900,–0.3457,2.7821,2.4364,–21
–20,0.0003,11.0720,0.0050,11.0770,–4.803,0.2770,–4.527,–0.01068,–0.01002,–20,0.0062,0.0174,42345.0000,42345.0000,–168.09,1220.4200,1052.3300,–0.3447,2.7758,2.4311,–20
